user_sequence,challenge
40047_11,CI26902
40047_12,CI26178
40047_13,CI26181
40051_11,CI28185
40051_12,CI28181
40051_13,CI28178
40053_11,CI28185
40053_12,CI28181
40053_13,CI28184
40055_11,CI24871
40055_12,CI24228
40055_13,CI26051
40056_11,CI23616
40056_12,CI24907
40056_13,CI25098
40064_11,CI26912
40064_12,CI26915
40064_13,CI26906
40067_11,CI25135
40067_12,CI23714
40067_13,CI24228
40068_11,CI24418
40068_12,CI24871
40068_13,CI24692
40069_11,CI24675
40069_12,CI25180
40069_13,CI25132
40070_11,CI25126
40070_12,CI23663
40070_13,CI24915
40071_11,CI24440
40071_12,CI24445
40071_13,CI24438
40072_11,CI24876
40072_12,CI24534
40072_13,CI24522
40073_11,CI26913
40073_12,CI26915
40073_13,CI26908
40077_11,CI25075
40077_12,CI24532
40077_13,CI24120
40078_11,CI24875
40078_12,CI24252
40078_13,CI24690
40080_11,CI23667
40080_12,CI28572
40080_13,CI28578
40086_11,CI24511
40086_12,CI25593
40086_13,CI25696
40089_11,CI23975
40089_12,CI24876
40089_13,CI24206
40090_11,CI24532
40090_12,CI23648
40090_13,CI23856
40096_11,CI26912
40096_12,CI26907
40096_13,CI26915
40099_11,CI24968
40099_12,CI24530
40099_13,CI23922
40104_11,CI26902
40104_12,CI26936
40104_13,CI26934
40106_11,CI25126
40106_12,CI23691
40106_13,CI23663
40111_11,CI24780
40111_12,CI24218
40111_13,CI24965
40115_11,CI25444
40115_12,CI25492
40115_13,CI25436
40118_11,CI23648
40118_12,CI26051
40118_13,CI23663
40124_11,CI26420
40124_12,CI26382
40124_13,CI26427
40129_11,CI26925
40129_12,CI26918
40129_13,CI26916
40132_11,CI25126
40132_12,CI24931
40132_13,CI23836
40142_11,CI26427
40142_12,CI26416
40142_13,CI26420
40143_11,CI24532
40143_12,CI24459
40143_13,CI23856
40144_11,CI26213
40144_12,CI26167
40144_13,CI26168
40146_11,CI24621
40146_12,CI24531
40146_13,CI23714
40149_11,CI23848
40149_12,CI23975
40149_13,CI25135
40150_11,CI25295
40150_12,CI24968
40150_13,CI23769
40151_11,CI25119
40151_12,CI24968
40151_13,CI24931
40158_11,CI23922
40158_12,CI26052
40158_13,CI23714
40160_11,CI24522
40160_12,CI24530
40160_13,CI24876
40162_11,CI23648
40162_12,CI25733
40162_13,CI23922
40163_11,CI27013
40163_12,CI26986
40163_13,CI26984
40164_11,CI24690
40164_12,CI24252
40164_13,CI24228
40167_11,CI23922
40167_12,CI23616
40167_13,CI24530
40170_11,CI24003
40170_12,CI24187
40170_13,CI26051
40173_11,CI27011
40173_12,CI27013
40173_13,CI26987
40175_11,CI25733
40175_12,CI24871
40175_13,CI23788
40178_11,CI24530
40178_12,CI23791
40178_13,CI24866
40179_11,CI24531
40179_12,CI23856
40179_13,CI24527
40181_11,CI24605
40181_12,CI24633
40181_13,CI24701
40182_11,CI24875
40182_12,CI24950
40182_13,CI24530
40186_11,CI24871
40186_12,CI24953
40186_13,CI24873
40190_11,CI23691
40190_12,CI23933
40190_13,CI24188
40193_11,CI26909
40193_12,CI26907
40193_13,CI26911
40194_11,CI26920
40194_12,CI26906
40194_13,CI26915
40198_11,CI24876
40198_12,CI24239
40198_13,CI24892
40208_11,CI23856
40208_12,CI23546
40208_13,CI24184
40210_11,CI24276
40210_12,CI25113
40210_13,CI25733
40211_11,CI23663
40211_12,CI25141
40211_13,CI23648
40215_11,CI23782
40215_12,CI23714
40215_13,CI24187
40216_11,CI26922
40216_12,CI26931
40216_13,CI26920
40221_11,CI23922
40221_12,CI23616
40221_13,CI24530
40229_11,CI27797
40229_12,CI27796
40229_13,CI27798
40230_11,CI24935
40230_12,CI24941
40230_13,CI24928
40231_11,CI26903
40231_12,CI26902
40231_13,CI26936
40236_11,CI25108
40236_12,CI24876
40236_13,CI24871
40237_11,CI26925
40237_12,CI26918
40237_13,CI26930
40238_11,CI24603
40238_12,CI24636
40238_13,CI25492
40240_11,CI24003
40240_12,CI25732
40240_13,CI24958
40243_11,CI23714
40243_12,CI24532
40243_13,CI24867
40244_11,CI25110
40244_12,CI25143
40244_13,CI24867
40245_11,CI25108
40245_12,CI25110
40245_13,CI25135
40254_11,CI23848
40254_12,CI25126
40254_13,CI25125
40255_11,CI26920
40255_12,CI26915
40255_13,CI26906
40264_11,CI25107
40264_12,CI25109
40264_13,CI24421
40266_11,CI24793
40266_12,CI25108
40266_13,CI24675
40271_11,CI24276
40271_12,CI26052
40271_13,CI24530
40272_11,CI24228
40272_12,CI23922
40272_13,CI24530
40274_11,CI24530
40274_12,CI23769
40274_13,CI24958
40280_11,CI23541
40280_12,CI24936
40280_13,CI24939
40285_11,CI27669
40285_12,CI27670
40285_13,CI26895
40288_11,CI25140
40288_12,CI24872
40288_13,CI24418
40290_11,CI23769
40290_12,CI23702
40290_13,CI24530
40291_11,CI26916
40291_12,CI26908
40291_13,CI26912
40295_11,CI26913
40295_12,CI26918
40295_13,CI26908
40299_11,CI23648
40299_12,CI24239
40299_13,CI24957
40301_11,CI24871
40301_12,CI24527
40301_13,CI25123
40304_11,CI24931
40304_12,CI24968
40304_13,CI23836
40309_11,CI23691
40309_12,CI24958
40309_13,CI23648
40311_11,CI23648
40311_12,CI26051
40311_13,CI24871
40314_11,CI24532
40314_12,CI24530
40314_13,CI23848
40316_11,CI24228
40316_12,CI24527
40316_13,CI25179
40317_11,CI23780
40317_12,CI24522
40317_13,CI24187
40320_11,CI25141
40320_12,CI26051
40320_13,CI24150
40321_11,CI26908
40321_12,CI26909
40321_13,CI26916
40322_11,CI23546
40322_12,CI24532
40322_13,CI25075
40324_11,CI23663
40324_12,CI25175
40324_13,CI23975
40330_11,CI25295
40330_12,CI23691
40330_13,CI24968
40332_11,CI24862
40332_12,CI23922
40332_13,CI24114
40333_11,CI26909
40333_12,CI26911
40333_13,CI26915
40336_11,CI26913
40336_12,CI26915
40336_13,CI26911
40339_11,CI23688
40339_12,CI23994
40339_13,CI23769
40342_11,CI25126
40342_12,CI23648
40342_13,CI23836
40351_11,CI25180
40351_12,CI24926
40351_13,CI25177
40353_11,CI24926
40353_12,CI25180
40353_13,CI25175
40354_11,CI24206
40354_12,CI25141
40354_13,CI24532
40355_11,CI24957
40355_12,CI25180
40355_13,CI24787
40356_11,CI28578
40356_12,CI26052
40356_13,CI26598
40358_11,CI26931
40358_12,CI26928
40358_13,CI26217
40363_11,CI26918
40363_12,CI26920
40363_13,CI26931
40364_11,CI24952
40364_12,CI23774
40364_13,CI23880
40366_11,CI26077
40366_12,CI26076
40366_13,CI26022
40367_11,CI25126
40367_12,CI25124
40367_13,CI25125
40368_11,CI26925
40368_12,CI26922
40368_13,CI26911
40373_11,CI23663
40373_12,CI24188
40373_13,CI23691
40377_11,CI28578
40377_12,CI28572
40377_13,CI28570
40378_11,CI24530
40378_12,CI24261
40378_13,CI26050
40380_11,CI23856
40380_12,CI24723
40380_13,CI28568
40387_11,CI23660
40387_12,CI25058
40387_13,CI25057
40389_11,CI25057
40389_12,CI23546
40389_13,CI24228
40390_11,CI27792
40390_12,CI26820
40390_13,CI26853
40391_11,CI24086
40391_12,CI25123
40391_13,CI25815
40401_11,CI28572
40401_12,CI28581
40401_13,CI28479
40402_11,CI24957
40402_12,CI25057
40402_13,CI24228
40403_11,CI28583
40403_12,CI28252
40403_13,CI28579
40404_11,CI25024
40404_12,CI25141
40404_13,CI25140
40408_11,CI23856
40408_12,CI24534
40408_13,CI23546
40409_11,CI24459
40409_12,CI23688
40409_13,CI25075
40411_11,CI23856
40411_12,CI24868
40411_13,CI24958
40413_11,CI23660
40413_12,CI23662
40413_13,CI25058
40418_11,CI26933
40418_12,CI26934
40418_13,CI26937
40419_11,CI26917
40419_12,CI26936
40419_13,CI26916
40430_11,CI25125
40430_12,CI23691
40430_13,CI27596
40432_11,CI26917
40432_12,CI26911
40432_13,CI26916
40436_11,CI23848
40436_12,CI23856
40436_13,CI24953
40438_11,CI26916
40438_12,CI26912
40438_13,CI26909
40446_11,CI25141
40446_12,CI25057
40446_13,CI25126
40449_11,CI26900
40449_12,CI26901
40449_13,CI26894
40450_11,CI24532
40450_12,CI24690
40450_13,CI25141
40452_11,CI26916
40452_12,CI26912
40452_13,CI26911
40453_11,CI25180
40453_12,CI24935
40453_13,CI24932
40455_11,CI23691
40455_12,CI26051
40455_13,CI24206
40459_11,CI23856
40459_12,CI23648
40459_13,CI24532
40463_11,CI23848
40463_12,CI24969
40463_13,CI23975
40464_11,CI27137
40464_12,CI26902
40464_13,CI26183
40465_11,CI24953
40465_12,CI23663
40465_13,CI23648
40469_11,CI25139
40469_12,CI25126
40469_13,CI25136
40472_11,CI24871
40472_12,CI24968
40472_13,CI23848
40473_11,CI24968
40473_12,CI24111
40473_13,CI24876
40476_11,CI24871
40476_12,CI25119
40476_13,CI24931
40478_11,CI23870
40478_12,CI23869
40478_13,CI23615
40481_11,CI23922
40481_12,CI24862
40481_13,CI24871
40483_11,CI25126
40483_12,CI25125
40483_13,CI23648
40487_11,CI25108
40487_12,CI24793
40487_13,CI24675
40491_11,CI24206
40491_12,CI24527
40491_13,CI23667
40493_11,CI26164
40493_12,CI26208
40493_13,CI26171
40500_11,CI25123
40500_12,CI25125
40500_13,CI25124
40502_11,CI26902
40502_12,CI26906
40502_13,CI26183
40506_11,CI23616
40506_12,CI24525
40506_13,CI24862
40507_11,CI26915
40507_12,CI26916
40507_13,CI26912
40512_11,CI26912
40512_12,CI26914
40512_13,CI26917
40515_11,CI26171
40515_12,CI26210
40515_13,CI26211
40518_11,CI26906
40518_12,CI26911
40518_13,CI26909
40519_11,CI25110
40519_12,CI24187
40519_13,CI25075
40521_11,CI24621
40521_12,CI25114
40521_13,CI25118
40522_11,CI26912
40522_12,CI26921
40522_13,CI26922
40529_11,CI26901
40529_12,CI26900
40529_13,CI26894
40532_11,CI26052
40532_12,CI26598
40532_13,CI28578
40533_11,CI25124
40533_12,CI25126
40533_13,CI25177
40534_11,CI26920
40534_12,CI26912
40534_13,CI26915
40536_11,CI26209
40536_12,CI26935
40536_13,CI26216
40538_11,CI26925
40538_12,CI26920
40538_13,CI26916
40543_11,CI23922
40543_12,CI23790
40543_13,CI23702
40544_11,CI24532
40544_12,CI23667
40544_13,CI24530
40545_11,CI24926
40545_12,CI24941
40545_13,CI25180
40548_11,CI26907
40548_12,CI26909
40548_13,CI26916
40550_11,CI26912
40550_12,CI26906
40550_13,CI26913
40553_11,CI25180
40553_12,CI24957
40553_13,CI24421
40554_11,CI26912
40554_12,CI26915
40554_13,CI26925
40562_11,CI25067
40562_12,CI24917
40562_13,CI25066
40564_11,CI26922
40564_12,CI26923
40564_13,CI26927
40566_11,CI26914
40566_12,CI26930
40566_13,CI26915
40572_11,CI24530
40572_12,CI25126
40572_13,CI23975
40573_11,CI24871
40573_12,CI24870
40573_13,CI24872
40574_11,CI23648
40574_12,CI24958
40574_13,CI23663
40575_11,CI26840
40575_12,CI26838
40575_13,CI26854
40577_11,CI27789
40577_12,CI27792
40577_13,CI27790
40578_11,CI24228
40578_12,CI24866
40578_13,CI24531
40579_11,CI23714
40579_12,CI23848
40579_13,CI24527
40585_11,CI24421
40585_12,CI24872
40585_13,CI24871
40586_11,CI23702
40586_12,CI24206
40586_13,CI24187
40590_11,CI25667
40590_12,CI25666
40590_13,CI24111
40593_11,CI24958
40593_12,CI23648
40593_13,CI24228
40598_11,CI24114
40598_12,CI24953
40598_13,CI25141
40599_11,CI23696
40599_12,CI27007
40599_13,CI27013
40601_11,CI24531
40601_12,CI24968
40601_13,CI24111
40602_11,CI23696
40602_12,CI26986
40602_13,CI27014
40605_11,CI25074
40605_12,CI24532
40605_13,CI23691
40607_11,CI23791
40607_12,CI23875
40607_13,CI24111
40608_11,CI28586
40608_12,CI28585
40608_13,CI28584
40610_11,CI26051
40610_12,CI24862
40610_13,CI23791
40616_11,CI25126
40616_12,CI25124
40616_13,CI25135
40617_11,CI23856
40617_12,CI24532
40617_13,CI25074
40621_11,CI24969
40621_12,CI23663
40621_13,CI23975
40623_11,CI28583
40623_12,CI26052
40623_13,CI25055
40624_11,CI24880
40624_12,CI23764
40624_13,CI25043
40625_11,CI28579
40625_12,CI23848
40625_13,CI28574
40626_11,CI23848
40626_12,CI23872
40626_13,CI24010
40627_11,CI23648
40627_12,CI24117
40627_13,CI25125
40628_11,CI25062
40628_12,CI25148
40628_13,CI24872
40642_11,CI24380
40642_12,CI26176
40642_13,CI24974
40644_11,CI26959
40644_12,CI26960
40644_13,CI26939
40647_11,CI26913
40647_12,CI26912
40647_13,CI26918
40650_11,CI24876
40650_12,CI23856
40650_13,CI23691
40652_11,CI26936
40652_12,CI26935
40652_13,CI27137
40657_11,CI25666
40657_12,CI25834
40657_13,CI25634
40664_11,CI23696
40664_12,CI27010
40664_13,CI27008
40665_11,CI26930
40665_12,CI26911
40665_13,CI26914
40666_11,CI26909
40666_12,CI26925
40666_13,CI26908
40670_11,CI24531
40670_12,CI24868
40670_13,CI25141
40671_11,CI27744
40671_12,CI27451
40671_13,CI27644
40672_11,CI26916
40672_12,CI26911
40672_13,CI26913
40673_11,CI23958
40673_12,CI24532
40673_13,CI24261
40679_11,CI26186
40679_12,CI26183
40679_13,CI26905
40684_11,CI24690
40684_12,CI25075
40684_13,CI23702
40686_11,CI25074
40686_12,CI24958
40686_13,CI25141
40689_11,CI26051
40689_12,CI24871
40689_13,CI26055
40690_11,CI25075
40690_12,CI24187
40690_13,CI23648
40692_11,CI24871
40692_12,CI24187
40692_13,CI24530
40693_11,CI24840
40693_12,CI23970
40693_13,CI23790
40694_11,CI23856
40694_12,CI23691
40694_13,CI24527
40695_11,CI25055
40695_12,CI24867
40695_13,CI26049
40696_11,CI25126
40696_12,CI26049
40696_13,CI24958
40699_11,CI25057
40699_12,CI24876
40699_13,CI24930
40702_11,CI25125
40702_12,CI25135
40702_13,CI24421
40703_11,CI25024
40703_12,CI23660
40703_13,CI23990
40706_11,CI24525
40706_12,CI23662
40706_13,CI23880
40710_11,CI24532
40710_12,CI25075
40710_13,CI24459
40711_11,CI25295
40711_12,CI23691
40711_13,CI24871
40712_11,CI25034
40712_12,CI24953
40712_13,CI24972
40718_11,CI23691
40718_12,CI25735
40718_13,CI25732
40719_11,CI25738
40719_12,CI28121
40719_13,CI25736
40720_11,CI26179
40720_12,CI26177
40720_13,CI25210
40723_11,CI27805
40723_12,CI27651
40723_13,CI27649
40725_11,CI28569
40725_12,CI24206
40725_13,CI28583
40726_11,CI24871
40726_12,CI25126
40726_13,CI24872
40732_11,CI23769
40732_12,CI23691
40732_13,CI24875
40744_11,CI26056
40744_12,CI28575
40744_13,CI28574
40745_11,CI28581
40745_12,CI25126
40745_13,CI28585
40749_11,CI24621
40749_12,CI23789
40749_13,CI23662
40750_11,CI26067
40750_12,CI24150
40750_13,CI26058
40753_11,CI24373
40753_12,CI24438
40753_13,CI24437
40754_11,CI28187
40754_12,CI28178
40754_13,CI28185
40756_11,CI24871
40756_12,CI25056
40756_13,CI23856
40757_11,CI25125
40757_12,CI24490
40757_13,CI25126
40758_11,CI24871
40758_12,CI23691
40758_13,CI25135
40767_11,CI25126
40767_12,CI25140
40767_13,CI24957
40771_11,CI26050
40771_12,CI25633
40771_13,CI23714
40773_11,CI25140
40773_12,CI25125
40773_13,CI24992
40774_11,CI24525
40774_12,CI24530
40774_13,CI25733
40780_11,CI24249
40780_12,CI26051
40780_13,CI24028
40784_11,CI24187
40784_12,CI23691
40784_13,CI24228
40785_11,CI23663
40785_12,CI25126
40785_13,CI25140
40786_11,CI24531
40786_12,CI24690
40786_13,CI25141
40788_11,CI23848
40788_12,CI24527
40788_13,CI25135
40789_11,CI25135
40789_12,CI28569
40789_13,CI23975
40790_11,CI23975
40790_12,CI24530
40790_13,CI23716
40791_11,CI26920
40791_12,CI26927
40791_13,CI26208
40802_11,CI25110
40802_12,CI24440
40802_13,CI25106
40805_11,CI23714
40805_12,CI23674
40805_13,CI24187
40811_11,CI25135
40811_12,CI25136
40811_13,CI25126
40812_11,CI23539
40812_12,CI26205
40812_13,CI27745
40813_11,CI26876
40813_12,CI26875
40813_13,CI26873
40816_11,CI24968
40816_12,CI24252
40816_13,CI23648
40817_11,CI24493
40817_12,CI24535
40817_13,CI24445
40818_11,CI26051
40818_12,CI24530
40818_13,CI26944
40819_11,CI26913
40819_12,CI26911
40819_13,CI26917
40823_11,CI26216
40823_12,CI26912
40823_13,CI26208
40828_11,CI25106
40828_12,CI25132
40828_13,CI24675
40831_11,CI28187
40831_12,CI28186
40831_13,CI28195
40832_11,CI27805
40832_12,CI25090
40832_13,CI25634
40840_11,CI26913
40840_12,CI26907
40840_13,CI26925
40841_11,CI26914
40841_12,CI26915
40841_13,CI26913
40843_11,CI23989
40843_12,CI26051
40843_13,CI24257
40850_11,CI25727
40850_12,CI23691
40850_13,CI24992
40852_11,CI24534
40852_12,CI23856
40852_13,CI23769
40853_11,CI24086
40853_12,CI25253
40853_13,CI24741
40854_11,CI24532
40854_12,CI25075
40854_13,CI24445
40855_11,CI25123
40855_12,CI25180
40855_13,CI25110
40856_11,CI26903
40856_12,CI26213
40856_13,CI26164
40858_11,CI25634
40858_12,CI24261
40858_13,CI24841
40859_11,CI26913
40859_12,CI26915
40859_13,CI26906
40862_11,CI24373
40862_12,CI24435
40862_13,CI24362
40864_11,CI26895
40864_12,CI27669
40864_13,CI26896
40869_11,CI26909
40869_12,CI26906
40869_13,CI26908
40873_11,CI26051
40873_12,CI24953
40873_13,CI24187
40876_11,CI25075
40876_12,CI24891
40876_13,CI25057
40877_11,CI23662
40877_12,CI24867
40877_13,CI26050
40881_11,CI26916
40881_12,CI26915
40881_13,CI26913
40882_11,CI27798
40882_12,CI27796
40882_13,CI27797
40883_11,CI26908
40883_12,CI26920
40883_13,CI26911
40895_11,CI23975
40895_12,CI25134
40895_13,CI23674
40896_11,CI26915
40896_12,CI26917
40896_13,CI26906
40900_11,CI26906
40900_12,CI26909
40900_13,CI26920
40904_11,CI25727
40904_12,CI27544
40904_13,CI26676
40907_11,CI25141
40907_12,CI24374
40907_13,CI24439
40908_11,CI26916
40908_12,CI26912
40908_13,CI26913
40909_11,CI26914
40909_12,CI26918
40909_13,CI26930
40915_11,CI26912
40915_12,CI26913
40915_13,CI26915
40916_11,CI26913
40916_12,CI26911
40916_13,CI26210
40918_11,CI24187
40918_12,CI23691
40918_13,CI24532
40919_11,CI25057
40919_12,CI24531
40919_13,CI25068
40922_11,CI24958
40922_12,CI23648
40922_13,CI24953
40923_11,CI23663
40923_12,CI24530
40923_13,CI24522
40925_11,CI26912
40925_12,CI26909
40925_13,CI26913
40926_11,CI24261
40926_12,CI24622
40926_13,CI23648
40933_11,CI23848
40933_12,CI23855
40933_13,CI25177
40937_11,CI26931
40937_12,CI26930
40937_13,CI26918
40939_11,CI26912
40939_12,CI26908
40939_13,CI26920
40940_11,CI25492
40940_12,CI24604
40940_13,CI24634
40942_11,CI26912
40942_12,CI26915
40942_13,CI26911
40943_11,CI24272
40943_12,CI24276
40943_13,CI24271
40945_11,CI25123
40945_12,CI25141
40945_13,CI24871
40948_11,CI26905
40948_12,CI26912
40948_13,CI26936
40949_11,CI25062
40949_12,CI23770
40949_13,CI24870
40952_11,CI24150
40952_12,CI24525
40952_13,CI24530
40956_11,CI26920
40956_12,CI26909
40956_13,CI26911
40957_11,CI24868
40957_12,CI23648
40957_13,CI24531
40958_11,CI24349
40958_12,CI24493
40958_13,CI24373
40961_11,CI27004
40961_12,CI27014
40961_13,CI27007
40962_11,CI27013
40962_12,CI23696
40962_13,CI27010
40963_11,CI28569
40963_12,CI28578
40963_13,CI28581
40964_11,CI26912
40964_12,CI26914
40964_13,CI26915
40966_11,CI24109
40966_12,CI23848
40966_13,CI25140
40970_11,CI24373
40970_12,CI24445
40970_13,CI24679
40972_11,CI25367
40972_12,CI25179
40972_13,CI23958
40974_11,CI23870
40974_12,CI24889
40974_13,CI23869
40975_11,CI27004
40975_12,CI27006
40975_13,CI27014
40977_11,CI25126
40977_12,CI23648
40977_13,CI23856
40980_11,CI23922
40980_12,CI23975
40980_13,CI25135
40985_11,CI27007
40985_12,CI27009
40985_13,CI27010
40989_11,CI23696
40989_12,CI27008
40989_13,CI27013
40991_11,CI26922
40991_12,CI26924
40991_13,CI26927
40992_11,CI26912
40992_12,CI26908
40992_13,CI26914
40995_11,CI24868
40995_12,CI23856
40995_13,CI23648
40997_11,CI25032
40997_12,CI25090
40997_13,CI26176
41004_11,CI24421
41004_12,CI24871
41004_13,CI24530
41006_11,CI23697
41006_12,CI23924
41006_13,CI24876
41007_11,CI23922
41007_12,CI24944
41007_13,CI24231
41008_11,CI26913
41008_12,CI26912
41008_13,CI26918
41012_11,CI27006
41012_12,CI27005
41012_13,CI27004
41013_11,CI26914
41013_12,CI26923
41013_13,CI26916
41014_11,CI24439
41014_12,CI24644
41014_13,CI24649
41015_11,CI24872
41015_12,CI24873
41015_13,CI26727
41018_11,CI24880
41018_12,CI24893
41018_13,CI24532
41019_11,CI25666
41019_12,CI25667
41019_13,CI25777
41021_11,CI23856
41021_12,CI24187
41021_13,CI24532
41022_11,CI24421
41022_12,CI25141
41022_13,CI24876
41023_11,CI26913
41023_12,CI26918
41023_13,CI26912
41026_11,CI24421
41026_12,CI24876
41026_13,CI24531
41038_11,CI25180
41038_12,CI23663
41038_13,CI25135
41040_11,CI25172
41040_12,CI25135
41040_13,CI26052
41041_11,CI26920
41041_12,CI26931
41041_13,CI26927
41044_11,CI26930
41044_12,CI26918
41044_13,CI26931
41046_11,CI26922
41046_12,CI26912
41046_13,CI26917
41047_11,CI24421
41047_12,CI24348
41047_13,CI24440
41051_11,CI26168
41051_12,CI26164
41051_13,CI26210
41055_11,CI25074
41055_12,CI25075
41055_13,CI24459
41056_11,CI24968
41056_12,CI23836
41056_13,CI24957
41057_11,CI24114
41057_12,CI23836
41057_13,CI24862
41058_11,CI26912
41058_12,CI26906
41058_13,CI26916
41059_11,CI26911
41059_12,CI26925
41059_13,CI26913
41060_11,CI24872
41060_12,CI24870
41060_13,CI25062
41062_11,CI26209
41062_12,CI26208
41062_13,CI26174
41065_11,CI23667
41065_12,CI23848
41065_13,CI23769
41066_11,CI25110
41066_12,CI25108
41066_13,CI25107
41069_11,CI25125
41069_12,CI23691
41069_13,CI26056
41074_11,CI24876
41074_12,CI25029
41074_13,CI24953
41075_11,CI24530
41075_12,CI23922
41075_13,CI23856
41076_11,CI27654
41076_12,CI26210
41076_13,CI27657
41079_11,CI25257
41079_12,CI25098
41079_13,CI25071
41081_11,CI26936
41081_12,CI26935
41081_13,CI26937
41084_11,CI24203
41084_12,CI24822
41084_13,CI25727
41086_11,CI23848
41086_12,CI24187
41086_13,CI25454
41090_11,CI23691
41090_12,CI25109
41090_13,CI24532
41094_11,CI24926
41094_12,CI24939
41094_13,CI24930
41097_11,CI26935
41097_12,CI26934
41097_13,CI26936
41102_11,CI24871
41102_12,CI24872
41102_13,CI24873
41103_11,CI25141
41103_12,CI24876
41103_13,CI25057
41107_11,CI24525
41107_12,CI25135
41107_13,CI24203
41108_11,CI23780
41108_12,CI23913
41108_13,CI24866
41114_11,CI26936
41114_12,CI26937
41114_13,CI26876
41115_11,CI25106
41115_12,CI25107
41115_13,CI25126
41116_11,CI25141
41116_12,CI24958
41116_13,CI23848
41117_11,CI23769
41117_12,CI24870
41117_13,CI24872
41119_11,CI27644
41119_12,CI27676
41119_13,CI27682
41121_11,CI25108
41121_12,CI25066
41121_13,CI25067
41125_11,CI25257
41125_12,CI23975
41125_13,CI25028
41126_11,CI26925
41126_12,CI26908
41126_13,CI26923
41129_11,CI25257
41129_12,CI24871
41129_13,CI24000
41130_11,CI26935
41130_12,CI26209
41130_13,CI26937
41132_11,CI23546
41132_12,CI25136
41132_13,CI24671
41138_11,CI24871
41138_12,CI24873
41138_13,CI24870
41140_11,CI26934
41140_12,CI26933
41140_13,CI26912
41142_11,CI27048
41142_12,CI27050
41142_13,CI27051
41147_11,CI24873
41147_12,CI24876
41147_13,CI25029
41149_11,CI26928
41149_12,CI26930
41149_13,CI26924
41157_11,CI25180
41157_12,CI24932
41157_13,CI24931
41159_11,CI25180
41159_12,CI24935
41159_13,CI24926
41160_11,CI26923
41160_12,CI26921
41160_13,CI26920
41161_11,CI27669
41161_12,CI27674
41161_13,CI27677
41163_11,CI26839
41163_12,CI27663
41163_13,CI27662
41165_11,CI26937
41165_12,CI26210
41165_13,CI26930
41166_11,CI27659
41166_12,CI27808
41166_13,CI27651
41167_11,CI23660
41167_12,CI24871
41167_13,CI25126
41169_11,CI27659
41169_12,CI27657
41169_13,CI27662
41179_11,CI24436
41179_12,CI24493
41179_13,CI25108
41180_11,CI23786
41180_12,CI23776
41180_13,CI23966
41181_11,CI25815
41181_12,CI24400
41181_13,CI24268
41186_11,CI24187
41186_12,CI23856
41186_13,CI24915
41188_11,CI26920
41188_12,CI24408
41188_13,CI26192
41189_11,CI23966
41189_12,CI23786
41189_13,CI24530
41193_11,CI24822
41193_12,CI23780
41193_13,CI24530
41195_11,CI27051
41195_12,CI27050
41195_13,CI26960
41196_11,CI23968
41196_12,CI24525
41196_13,CI23776
41197_11,CI28582
41197_12,CI23714
41197_13,CI24099
41202_11,CI24872
41202_12,CI24871
41202_13,CI25135
41205_11,CI23691
41205_12,CI25295
41205_13,CI24257
41207_11,CI24867
41207_12,CI26050
41207_13,CI23663
41211_11,CI26899
41211_12,CI26221
41211_13,CI26220
41213_11,CI25074
41213_12,CI24873
41213_13,CI24532
41215_11,CI27047
41215_12,CI27041
41215_13,CI27049
41216_11,CI27677
41216_12,CI27680
41216_13,CI27681
41218_11,CI27678
41218_12,CI27682
41218_13,CI27669
41225_11,CI24530
41225_12,CI23648
41225_13,CI24871
41227_11,CI23856
41227_12,CI24445
41227_13,CI23648
41231_11,CI24876
41231_12,CI24206
41231_13,CI23840
41232_11,CI26936
41232_12,CI26208
41232_13,CI27137
41238_11,CI25132
41238_12,CI24493
41238_13,CI24373
41240_11,CI25815
41240_12,CI25054
41240_13,CI24867
41241_11,CI24438
41241_12,CI24679
41241_13,CI25074
41244_11,CI23780
41244_12,CI23966
41244_13,CI23965
41246_11,CI25126
41246_12,CI25125
41246_13,CI25110
41252_11,CI25109
41252_12,CI25107
41252_13,CI24440
41254_11,CI26051
41254_12,CI25125
41254_13,CI24867
41255_11,CI26051
41255_12,CI24867
41255_13,CI25733
41256_11,CI27670
41256_12,CI27674
41256_13,CI27673
41261_11,CI26051
41261_12,CI24954
41261_13,CI24944
41262_11,CI24187
41262_12,CI25126
41262_13,CI23663
41263_11,CI26912
41263_12,CI26911
41263_13,CI26917
41264_11,CI23836
41264_12,CI24944
41264_13,CI24188
41266_11,CI26913
41266_12,CI26911
41266_13,CI26912
41267_11,CI26860
41267_12,CI26210
41267_13,CI26217
41269_11,CI26159
41269_12,CI26164
41269_13,CI26167
41272_11,CI26905
41272_12,CI26183
41272_13,CI26182
41274_11,CI23663
41274_12,CI23714
41274_13,CI23691
41278_11,CI24187
41278_12,CI25126
41278_13,CI28257
41282_11,CI26859
41282_12,CI26861
41282_13,CI26870
41286_11,CI24871
41286_12,CI25140
41286_13,CI24348
41290_11,CI24530
41290_12,CI23805
41290_13,CI25681
41294_11,CI27048
41294_12,CI27049
41294_13,CI27051
41297_11,CI24808
41297_12,CI23780
41297_13,CI25118
41305_11,CI24421
41305_12,CI24373
41305_13,CI25179
41307_11,CI23616
41307_12,CI23922
41307_13,CI24471
41310_11,CI28190
41310_12,CI28180
41310_13,CI28168
41311_11,CI26915
41311_12,CI26216
41311_13,CI26911
41316_11,CI23648
41316_12,CI23769
41316_13,CI24184
41318_11,CI25139
41318_12,CI25107
41318_13,CI23648
41321_11,CI26220
